id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
1596,7515,6.0,6.1,7.6,8.2,7.3,-10.0,-10.0,-10.0,c377222ce48776bed90e4b9fe4311592659c4777fc0e98c23f8a70b7d8aa6d0f
1596,7515,8.2,6.4,7.4,8.5,7.9,-10.0,-10.0,-10.0,9bc1ed46d326db1f4679449e450ac8fd918933147d34f4cd2940657b679b9527
1596,7515,8.6,7.0,7.2,8.0,7.8,-10.0,-10.0,-10.0,1f30b40cdafc9935550d86a3784ae1a4f6bd154509d066f6d2efbf711e54bfbc
1596,7515,6.5,5.5,8.0,9.7,8.1,-10.0,-10.0,-10.0,8280f6e438533ccb932bb0c1d187b5baf0796a72c37463be78752e47ebd58a51
1596,7515,8.6,8.0,10.0,8.2,8.5,-10.0,-10.0,-10.0,30f07dc1b26863f01b1a4de17167d7c87c6c4ee0358986b62d770abff1ac3ac0
1596,7515,6.2,7.0,8.8,8.2,7.7,-10.0,-10.0,-10.0,78361342b5b2c81547722afc590e17fa553a7ce0e4d9b21619673edac70e0d32
1596,7515,8.7,6.4,9.2,8.5,8.3,-10.0,-10.0,-10.0,54a65c483454529a4c5710d6fb667c1e5c9c31e5d5fd72bb358a4b50caf444d4
1596,7515,7.7,6.1,6.4,6.5,6.6,-10.0,-10.0,-10.0,565a0284ce40a12ac24576206ca602b9eb6372a420efb4c19212b782a6a8727e
1596,7516,5.0,6.5,5.8,6.5,6.1,-10.0,-10.0,-10.0,c377222ce48776bed90e4b9fe4311592659c4777fc0e98c23f8a70b7d8aa6d0f
1596,7516,6.5,7.0,7.2,7.6,7.2,-10.0,-10.0,-10.0,9bc1ed46d326db1f4679449e450ac8fd918933147d34f4cd2940657b679b9527
1596,7516,7.2,7.6,7.5,7.4,7.4,-10.0,-10.0,-10.0,1f30b40cdafc9935550d86a3784ae1a4f6bd154509d066f6d2efbf711e54bfbc
1596,7516,8.0,6.8,7.9,7.0,7.2,-10.0,-10.0,-10.0,30f07dc1b26863f01b1a4de17167d7c87c6c4ee0358986b62d770abff1ac3ac0
1596,7516,6.8,7.4,7.0,8.8,7.9,-10.0,-10.0,-10.0,78361342b5b2c81547722afc590e17fa553a7ce0e4d9b21619673edac70e0d32
1596,7516,8.0,8.6,8.3,7.0,7.6,-10.0,-10.0,-10.0,54a65c483454529a4c5710d6fb667c1e5c9c31e5d5fd72bb358a4b50caf444d4
1596,7516,5.0,6.4,6.4,6.5,6.2,-10.0,-10.0,-10.0,565a0284ce40a12ac24576206ca602b9eb6372a420efb4c19212b782a6a8727e
1596,7517,4.1,4.4,5.3,3.3,3.9,2.2,7.0,-10.0,9bc1ed46d326db1f4679449e450ac8fd918933147d34f4cd2940657b679b9527
1596,7517,5.5,3.0,3.1,2.2,3.0,-8.0,7.0,-10.0,1f30b40cdafc9935550d86a3784ae1a4f6bd154509d066f6d2efbf711e54bfbc
1596,7517,6.7,4.2,1.8,0.0,2.1,3.3,3.0,6.0,03818eb804262c17352f043a345f81acf5a071166daa57d443c3890249abb911
1596,7517,9.5,6.0,3.8,1.6,4.0,3.3,7.0,-10.0,be9d2f34c96c5b350409ded4cdceef1a4e80f76399c845a990e9dbcc773a082c
1596,7517,1.0,1.6,1.2,3.3,2.2,0.0,6.0,-10.0,8280f6e438533ccb932bb0c1d187b5baf0796a72c37463be78752e47ebd58a51
1596,7517,8.8,4.6,3.8,3.3,4.5,2.2,5.0,-10.0,30f07dc1b26863f01b1a4de17167d7c87c6c4ee0358986b62d770abff1ac3ac0
1596,7517,5.0,4.2,0.5,1.1,2.1,2.2,2.0,-10.0,78361342b5b2c81547722afc590e17fa553a7ce0e4d9b21619673edac70e0d32
1596,7517,3.3,4.0,1.9,2.2,2.6,1.1,2.0,-10.0,54a65c483454529a4c5710d6fb667c1e5c9c31e5d5fd72bb358a4b50caf444d4
