id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
2120,9778,8.5,8.0,4.5,7.5,7.2,-10.0,-10.0,-10.0,e7121c0c4038ef1b8c665c11aa2a1e4817d6a1503cf0b1319793a3d45e14b652
2120,9778,-8.0,-5.0,-5.0,-5.0,0.0,-10.0,-10.0,-10.0,7b39daa07b25cf2c88fbb37a0379ff2fa173d56cde228398689b6f6411b9c8e9
2120,9778,10.0,8.0,8.0,6.0,7.3,-10.0,-10.0,-10.0,248853094b880a6ff08480b0cb217360ba2d532e3bded9d227b78a57e27b2812
2120,9778,8.5,9.0,4.0,7.5,7.3,-10.0,-10.0,-10.0,87ce0a2e6c323b0453f2a3036b7abb043957b5bd99c86cfb785b2cbcc186c77a
2120,9778,9.5,6.0,7.5,6.5,7.0,-10.0,-10.0,-10.0,b58cc319f9b1f32f9bd4a95b42fb253c3c3c76a5b0d80f1a08ab7a36f0a37189
2120,9778,7.5,6.0,7.0,9.0,7.9,-10.0,-10.0,-10.0,6be3c78fdb9cc839d54a3ce13d24d606b4f874fba728c5e0190a24c1d0b92ad0
2120,9778,10.0,9.0,8.2,10.0,9.5,-10.0,-10.0,-10.0,7787778542b965fe2bff14eeaf9dd7ca709ce0adc82875335b1427ec81ddd748
2120,9778,4.0,-8.0,-5.0,-5.0,0.6,-10.0,-10.0,-10.0,59a5c3e485a6cb9294f759f11bd1f7f750fe475b3fcd247c657c09f911594b6a
2120,9778,8.5,5.0,2.0,3.2,4.1,6.0,-10.0,-10.0,34ae8ca789a0e9d76736c8b798e111b25440a1953e05c8e418e4b5524bb9b2cd
2120,9778,10.0,7.0,9.5,8.0,8.4,-10.0,-10.0,-10.0,47561b7b2cdc74b89fe2d552e13e4a776e13e4402765fe66148df443250053ee
2120,9778,4.5,-5.0,-5.0,-5.0,0.7,-10.0,-10.0,-10.0,d5b51abe29aa9bfa0cb910f349061724549b47212535df9dd7d1d692635779dd
2120,9778,9.0,9.0,5.0,8.0,7.8,-10.0,-10.0,-10.0,08c614aa38650a446091d0feee137f3d80379d73b0992ee5aa4336246f36b268
2120,9778,6.5,6.5,7.0,5.0,5.8,8.0,-10.0,-10.0,d681e2506e1882af38277a2e340b11bdf2b4c25da80410ac9d12e9e041655ce9
2120,9778,10.0,8.5,6.5,8.0,8.1,-10.0,-10.0,-10.0,5ae474f3cc42148bbb082935ef460087b8ee84ae87a51b4b1bc38ee1577510c3
2120,9778,5.5,7.0,9.5,10.0,8.6,-10.0,-10.0,-10.0,f7c1964fc81118e8616b7d99ea8f8ce4933c496217a4d0af02eed2323e4d09c4
2120,9778,10.0,9.0,6.5,9.5,9.0,-10.0,-10.0,-10.0,83f2b78134e96d0aa0ce4287a424391075281d66931818c6acc74dc95fabb749
2120,9778,7.0,10.0,5.0,7.5,7.4,-10.0,-10.0,-10.0,c166526369671dc552b0f47fbcb154d627ac7b87fcf07af9c3553aa66dc55029
2120,9778,6.0,3.0,-8.0,-8.0,1.5,-10.0,-10.0,-10.0,5aada713794cf28f6a56c07e4895cd0ba07b80ea0f5c29d2a8f91348a2ac7505
2120,9778,10.0,9.5,10.0,10.0,9.9,-10.0,-10.0,-10.0,645d865429d88fd988c4a50b9b97e31944256890595bbffc045470cf7d83f9df
