id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
2915,13377,3.5,3.8,6.5,2.2,3.4,8.5,-10.0,-10.0,0f8119741c91a6b8c777b4e3549180971b4ffb8605c6cdd0387f45fe89339358
2915,13377,2.8,4.7,9.4,8.5,7.1,-10.0,-10.0,-10.0,cfb580d4674ead43b58db321a22845f7854c487e43de1c28840a708648c99ec4
2915,13377,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,346fa3067eb3ae21b6347fd0c4a9900ad33312c342a4f2ed8a79c5b5c6b59f0a
2915,13377,0.5,-5.0,0.0,0.0,0.1,-10.0,-10.0,-10.0,5d35dca1699cd6e469ec436e4f19a7470cff56956bf40a9225bdc0845489659b
2915,13377,10.0,7.8,10.0,10.0,9.7,-10.0,-10.0,-10.0,a421caccd0eabe9f02196bb7ffca36d289e02c0f527c4fa22da8daad0f6f58a5
2915,13377,0.8,0.2,1.2,1.0,0.9,-10.0,-10.0,-10.0,a4ecd8aacfabced1a5cdc985125414db699c59eadd6e581c8d8bcb3ea8ef5fa3
2915,13377,4.3,5.7,7.0,2.0,3.9,6.0,-10.0,-10.0,be9046516dc8bc94e1527489f8b5aa271a8f6b7bbb278177295d96779ac89f8f
2915,13377,6.3,3.5,8.3,8.2,7.1,-10.0,-10.0,-10.0,4a453a34238728a5a2404049b0b742368a88e0eedec8a231b6c22b0a9418cdcd
2915,13377,3.5,1.9,6.6,0.4,2.2,-10.0,-10.0,-10.0,bb7509675193cd7a204eb6cc3b8ecee459c7bdfef637d7df47cfdaa2ed05186f
2915,13377,9.8,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,a57271f89e76ecae932f0f60ef2743bcd7a9a3db77cc63b7125247186e1b1853
2915,13377,2.3,0.7,9.3,4.0,4.1,6.0,-10.0,-10.0,aa78328e0c4ba2ce68b05cb19887b8bab4ec7cbdebb603689070abe7966c2d86
2915,13377,9.5,5.5,4.3,7.0,6.7,-10.0,-10.0,-10.0,81befefff3ff2190eadf6554c90c7f197ec43dce05163a8e5e68267d57f3a9c9
2915,13377,2.6,5.5,8.0,3.4,4.4,3.5,6.5,-10.0,7693eb26245f637bde9c8942ccf2afd3d08146180b51d90d5155275f9f40d4b6
2915,13377,5.3,6.0,9.2,1.8,4.3,6.0,-10.0,-10.0,3918564723cc87cfbaeda46e522920e9bbaf3e05fca8b2896641439708640965
2915,13377,2.3,2.0,3.1,2.5,2.5,2.0,6.0,-10.0,5abc979e94d1dbacc323a017c28527d103f0d3ce5bc53b9fc650c586160c9bcb
2915,13377,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-10.0,3aea7f90eab8b205b392eea56e45933b86b3ec4be6afdb8eefeb790db85f4a4b
2915,13377,1.0,6.7,5.3,4.4,4.4,4.7,6.0,-10.0,553adfa9cf8785bf70f68e5220bb1aa942aef2df70a77ac05c772ec5b924d31a
2915,13377,3.7,-5.0,-5.0,-5.0,0.6,-8.0,-8.0,-10.0,408295c331420ec7429d30642a0d301342374153447333827a7a2cac9012059d
2915,13377,3.0,3.0,8.2,3.0,3.9,4.4,5.0,-10.0,568916256523069a8e92b979a20e3bfed8e1dcc352d9c7531f6d066cc6ec6330
2915,13377,3.0,0.2,2.0,0.4,1.1,2.2,1.5,-10.0,c76d7096f20ba52a499c3874b03ee0022763fc1182ecc72b149221d7d8323344
2915,13377,6.2,1.1,9.7,3.0,4.4,6.0,-10.0,-10.0,e99db32fb7c81b0236257ccec76fa0e31a526f4722b50d9a005950bb7621862f
2915,13377,6.6,4.5,2.5,4.0,4.3,-10.0,-10.0,-10.0,4ae4250479e3a5d75dac4829c8d8aebda55b77c63b3b01d76f7ce729b49ea123
