id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
2266,10416,4.4,3.6,9.8,6.6,6.2,-10.0,-10.0,-10.0,e662503691d3fdc221c49c83d7a3ee4d8944911b52856070e3f595faa18fa6c9
2266,10416,3.0,4.0,8.2,7.4,6.2,-10.0,-10.0,-10.0,b0e74efd484bbc2ad7c6705e6878fd0e0375b7b9378759dc81e855821eb2b0d7
2266,10416,7.6,3.7,9.1,6.6,6.7,-10.0,-10.0,-10.0,6f320072c3d56c4742e310317a3ced451b04905e09728416ca86ce7304432e59
2266,10416,10.0,3.7,9.8,7.6,7.7,-10.0,-10.0,-10.0,5275c2ebe85c8c97a47dae2b368f5d35fdc3d49589319b0697dbbdcf95d60272
2266,10416,9.2,3.5,8.4,6.6,6.8,-10.0,-10.0,-10.0,2eedbbda7d67a13053e35bc715efc57d98eb62b402a8e66e3d9307d4d284e3a1
2266,10415,5.0,6.7,7.5,6.4,6.4,-10.0,-10.0,-10.0,eebf324de9836283a439321af9afb282db740292e78020b1c5666d559c9f78be
2266,10415,3.5,5.5,6.0,7.4,6.2,-10.0,-10.0,-10.0,8bbaadec768ceedf4eb7286b05df4adb9a61cb94544a5765164d3b6de7fd9cbd
2266,10415,4.5,4.5,5.3,8.0,6.3,-10.0,-10.0,-10.0,aa425bf30cc74527dc65cfd823bf1768e39a2aad347cb59e93904c921f8e34c5
2266,10415,0.5,2.0,1.5,3.0,2.1,8.8,-10.0,-10.0,3c6facdbd06968a31279cee7068fc1b611b48f347f18a2e1ff7e415025ffa57b
2266,10415,4.0,7.3,7.5,6.3,6.2,-10.0,-10.0,-10.0,8bcaf90d535c99c16474ec8cdf42915c54d2ceabd940b186b39208aae0a16e3d
2266,10415,1.5,2.0,1.7,0.0,0.8,8.8,-10.0,-10.0,b91b067fc01a775c8a0a5815ec842fa70ffa91f2ff8a4ee0f6a5429cdc25090c
2266,10415,1.0,3.0,5.0,0.0,1.5,8.0,-10.0,-10.0,e80a2d3b42ba00a004397f6e70f856fcd9855cd88b26da5e2253a3a8fb0b9cf5
2266,10415,2.5,4.5,3.5,3.0,3.2,9.0,-10.0,-10.0,04ff46c3ab7e3fe2bca1f0e86677b738eca96202924d9ce6969c3b34d9dfdd9a
2266,10415,2.0,7.5,6.0,3.0,4.0,5.0,-10.0,2.0,9078ad6b91722457c7730d9f18a83544f37893e305c8ddca9cd3dad7266b8ef3
2266,10415,2.5,4.5,3.0,6.0,4.6,7.5,-10.0,-10.0,11ae6cba758b50c654941a1552be9b59544c044c8206d03c07f5f482ef19fb03
2266,10415,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,b796ae619a18be9806f3b00f4e31068f76ed959fe34b3a512490c2929f33a0e7
2266,10415,4.0,7.8,10.0,7.2,7.2,-10.0,-10.0,-10.0,11b47add5b22e41efd5596d1eea87d29269fb247a3d7ce4034f0dfc9fdcf0fde
2266,10415,2.0,3.5,3.3,0.0,1.4,-8.0,-10.0,-8.0,e085f0a70c070038a7f914a0177d94311569a169325dd697b7fddfb232502aae
2266,10415,3.0,5.5,5.8,8.0,6.3,-10.0,-10.0,-10.0,776ddd880051a79f9ec043073ba3cbf210d1c4e3f2f69411619812a5442925ef
2266,10415,2.5,3.5,7.7,7.5,6.0,-10.0,-10.0,-10.0,379241bfc3a0971e3abce555cbcf71572d775d74766d9368ded28521ac2d6f76
2266,10415,2.5,4.0,4.3,2.0,2.8,6.5,-10.0,-10.0,764d770f2700414a528cbfd9f789ddfbb2750e8728b2a90955af5eb52c946506
2266,10415,5.0,5.6,5.2,0.5,2.8,6.5,-10.0,-10.0,be520ba67bc1c03465fc78c22881be30536b6b9a46031e4038c847e928f55d4f
2266,10415,2.0,4.0,6.6,1.5,2.8,8.5,-10.0,-10.0,52226ded00479e6f4b9f3f736e98f2100832c5fb798f9bef9166b40f11bebbf1
2266,10415,2.5,5.0,3.4,0.5,2.0,8.0,-10.0,-10.0,c7f07cad4543fcae2d5ce05986ee0cc22a3d87a6bc33fd20091ec6935a0957ae
2266,10415,2.5,5.0,3.1,0.0,1.7,9.0,-10.0,-10.0,d7bebcf98548a1316d246e8a2b0acc2cca6ef9721ebcf353f02279615edd36d8
2266,10415,5.5,6.5,8.3,6.7,6.7,-10.0,-10.0,-10.0,f374dec980bfe689294c78f3a4bbf597b49f5d3515d9db47dfca03930ed6d93b
2266,10415,4.5,8.5,6.0,6.5,6.4,-10.0,-10.0,-10.0,6d53f875d5534c497255e44b315e83e996bb89d6d41075a797d059f599444b0b
2266,10415,6.7,8.5,6.3,7.1,7.1,-10.0,-10.0,-10.0,ae2252cf149802323740f35695833319d393737b05c5704cc439d3c99a2fa687
2266,10415,2.5,3.5,5.5,5.0,4.4,6.0,-10.0,-10.0,1af1de7d6d2edadc6d7c052f4d5092e164330dd532cae08d99cfa9fa266c888e
2266,10415,4.5,7.5,8.2,6.7,6.7,-10.0,-10.0,-10.0,f99bb79d00acfd7c262e5e313ab60810fec60e0eefb70b00b20ff779995ef6a9
2266,10415,-5.0,-5.0,-5.0,-5.0,0.0,-10.0,-10.0,-8.0,34e85d1b6e07112b34277c02cf4cf016b3a1f992f71ab53f605b1e40ef4c1a3d
2266,10415,-5.0,-5.0,3.5,-5.0,0.5,-10.0,-10.0,-8.0,d1761204db767ee8d286793533b1bd12e578c3d01f5b20962d14a86a925f18ff
2266,10415,-5.0,-5.0,2.5,-5.0,0.4,-10.0,-10.0,-8.0,ba8bb1c3849f7f7521586368b1fb1c0fd7ad090cbf1f3920dbd0619a47acf8ee
2266,10415,3.0,5.9,2.7,3.5,3.6,6.0,-10.0,-10.0,114bf2bd15a8d33530484de7ce7a4f79771a5f778b43b01ef56ce2eb645295e9
2266,10415,2.5,3.0,6.0,8.2,6.0,-10.0,-10.0,-10.0,d8aa1109a0ceb542ebf80e7e40ab0485e1ac8b88dd10da9a48cd59c1674e2668
2266,10415,2.0,2.5,2.5,1.5,1.9,6.0,-10.0,-10.0,006fb03093eeabcb538eb102429757ab00680420293fcfe1a9f948adabbf6bd6
2266,10415,5.8,8.5,10.0,8.1,8.1,-10.0,-10.0,-10.0,2ce74d772af1a1bfd3ed80058087fb77de9677386f3c7591fea8a162823704d3
