id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
2618,12067,10.0,8.3,8.0,8.3,8.5,-10.0,-10.0,-10.0,7b70697361e69e0c2611d6a6eadefebff05ed0b91c75bcc1d329190e0cd50dba
2618,12067,7.9,4.3,9.7,7.5,7.4,-10.0,-10.0,-10.0,ab40c0745507c265a3a5323293a66af5452a827beea87d341cf47c4312277712
2618,12067,4.7,5.8,5.8,7.5,6.4,-10.0,-10.0,-10.0,20200fda9cada94858f1ba77db86d7b0719ed6e5e40bfd7b87cb02dd0ba39574
2618,12067,8.4,5.4,7.7,7.0,7.0,-10.0,-10.0,-10.0,b172f0f70a3fc2113f80b54925c2b8bcaad9cee161d951c199c9adf16103e496
2618,12067,8.8,7.1,6.9,9.5,8.5,-10.0,-10.0,-10.0,218ffe4d14ddb564f4fdd713a4c3f1c7ead4a14d3bbfdda493f91f06ad5fb87f
2618,12067,8.9,8.7,9.1,10.0,9.4,-10.0,-10.0,-10.0,92fbae352c50b4be55ff42bdc888cd4fc8135f42b617b35d649144e6f7bc12bb
2618,12068,6.0,8.8,8.8,10.0,8.9,-10.0,-10.0,-10.0,ab40c0745507c265a3a5323293a66af5452a827beea87d341cf47c4312277712
2618,12068,6.0,8.6,8.5,10.0,8.8,-10.0,-10.0,-10.0,20200fda9cada94858f1ba77db86d7b0719ed6e5e40bfd7b87cb02dd0ba39574
2618,12068,6.0,9.2,9.1,9.0,8.5,-10.0,-10.0,-10.0,b172f0f70a3fc2113f80b54925c2b8bcaad9cee161d951c199c9adf16103e496
2618,12068,10.0,10.0,9.0,10.0,9.8,-10.0,-10.0,-10.0,218ffe4d14ddb564f4fdd713a4c3f1c7ead4a14d3bbfdda493f91f06ad5fb87f
2618,12068,10.0,9.0,10.0,9.0,9.3,-10.0,-10.0,-10.0,92fbae352c50b4be55ff42bdc888cd4fc8135f42b617b35d649144e6f7bc12bb
2618,12069,7.0,1.3,4.2,5.3,4.7,6.0,-10.0,-10.0,2649e1330847d7340e94c884781323bb2176eeebdfe2f04c447adb20013cd991
2618,12069,7.6,8.5,9.7,6.9,7.7,-10.0,-10.0,-10.0,7b70697361e69e0c2611d6a6eadefebff05ed0b91c75bcc1d329190e0cd50dba
2618,12069,9.0,8.0,5.7,7.6,7.5,-10.0,-10.0,-10.0,ab40c0745507c265a3a5323293a66af5452a827beea87d341cf47c4312277712
2618,12069,5.7,2.5,2.3,4.4,3.9,4.5,6.0,-10.0,20200fda9cada94858f1ba77db86d7b0719ed6e5e40bfd7b87cb02dd0ba39574
2618,12069,5.3,2.5,8.1,8.3,6.8,-10.0,-10.0,-10.0,b172f0f70a3fc2113f80b54925c2b8bcaad9cee161d951c199c9adf16103e496
2618,12069,6.2,3.9,8.1,6.1,6.0,-10.0,-10.0,-10.0,4519fc26e97894347c4d57ed5ce51fc39c66f47cbd0a71e279479658859c013e
2618,12069,8.7,5.3,6.1,7.1,6.9,-10.0,-10.0,-10.0,218ffe4d14ddb564f4fdd713a4c3f1c7ead4a14d3bbfdda493f91f06ad5fb87f
2618,12069,9.8,9.3,10.0,9.6,9.6,-10.0,-10.0,-10.0,ff1a64a48738b277aee4596f72fd181bf9bb1091ce5448dd88759ace081f20cb
2618,12069,7.1,8.3,9.2,9.0,8.6,-10.0,-10.0,-10.0,3ad992147e123c100f71ad83808dfb5d427fd91a7e81777b1afbd649e8c76dbb
2618,12069,9.9,10.0,9.4,10.0,9.8,-10.0,-10.0,-10.0,92fbae352c50b4be55ff42bdc888cd4fc8135f42b617b35d649144e6f7bc12bb
2618,12070,7.3,10.0,9.2,8.2,8.5,-10.0,-10.0,-10.0,7b70697361e69e0c2611d6a6eadefebff05ed0b91c75bcc1d329190e0cd50dba
2618,12070,7.5,10.0,8.2,7.3,7.9,-10.0,-10.0,-10.0,ab40c0745507c265a3a5323293a66af5452a827beea87d341cf47c4312277712
2618,12070,7.0,8.7,6.3,6.5,6.9,-10.0,-10.0,-10.0,20200fda9cada94858f1ba77db86d7b0719ed6e5e40bfd7b87cb02dd0ba39574
2618,12070,8.0,10.0,9.2,7.1,8.0,-10.0,-10.0,-10.0,b172f0f70a3fc2113f80b54925c2b8bcaad9cee161d951c199c9adf16103e496
2618,12070,9.0,9.7,9.5,7.0,8.2,-10.0,-10.0,-10.0,06bb63613c3dbb5dfa56d7e1681554d6db3860d4aa17daae9d65294ca6d08eb9
2618,12070,9.0,10.0,7.5,8.1,8.4,-10.0,-10.0,-10.0,218ffe4d14ddb564f4fdd713a4c3f1c7ead4a14d3bbfdda493f91f06ad5fb87f
2618,12070,10.0,10.0,10.0,7.3,8.6,-10.0,-10.0,-10.0,92fbae352c50b4be55ff42bdc888cd4fc8135f42b617b35d649144e6f7bc12bb
2618,12071,5.6,7.3,7.5,6.3,6.5,-10.0,-10.0,-10.0,ab40c0745507c265a3a5323293a66af5452a827beea87d341cf47c4312277712
2618,12071,5.0,7.3,6.3,7.1,6.6,-10.0,-10.0,-10.0,20200fda9cada94858f1ba77db86d7b0719ed6e5e40bfd7b87cb02dd0ba39574
2618,12071,7.3,8.4,5.4,7.6,7.3,-10.0,-10.0,-10.0,b172f0f70a3fc2113f80b54925c2b8bcaad9cee161d951c199c9adf16103e496
2618,12071,6.2,7.9,8.4,7.1,7.3,-10.0,-10.0,-10.0,218ffe4d14ddb564f4fdd713a4c3f1c7ead4a14d3bbfdda493f91f06ad5fb87f
2618,12071,8.6,9.1,6.5,6.7,7.3,-10.0,-10.0,-10.0,92fbae352c50b4be55ff42bdc888cd4fc8135f42b617b35d649144e6f7bc12bb
