id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
1630,7626,5.0,8.0,8.0,9.0,8.0,-10.0,-10.0,-10.0,08e4e47c155c7dc502b87835a6bca854a71f78547e2a8258b2f277bcdc949f57
1630,7626,5.0,7.0,7.5,8.0,7.2,-10.0,-10.0,-10.0,0ef1bf30b1018d5df89b936c542f747913f1b8b2a4398f357effa019a74a6a48
1630,7626,5.0,8.0,8.0,8.0,7.5,-10.0,-10.0,-10.0,c40d245f99eb5d91324412ca62bba3572e7ab7dfdfe00d5133b8d5bc31882f5b
1630,7626,5.0,8.0,8.0,9.0,8.0,-10.0,-10.0,-10.0,3f5011772fb5011d693b7862e45b1ea15cb111fe7835ef73a6b182ff4e69973d
1630,7626,5.0,7.0,7.0,7.0,6.6,-10.0,-10.0,-10.0,9abe169b466ddde314b407b8324500bd81a02c8332edaa7a9a83ba43fcea1f1f
