id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
2957,13632,6.0,6.7,6.1,3.5,4.9,6.0,-10.0,-10.0,4da6a31dd13d3af113a1b8b2c9c0f33ed8b4ee9ac1d9123990db7cd812593cfa
2957,13632,2.0,2.8,-5.0,-5.0,0.8,-10.0,-10.0,-10.0,5729783c1f2a4aa3bd362a40962d1bac3e1665eecf1f83f2b12482a980785c04
2957,13632,7.9,8.2,4.0,4.2,5.5,4.4,3.0,-10.0,3db02215a038d2739c00fe8442adabea4ccce9abeb4542f474027e65a0dcbd45
2957,13632,1.8,1.0,0.5,0.0,0.6,0.0,0.0,-10.0,6562350d9c8a79ed28eecf8906cb76469f48664274210d5b2fd6c130d432623d
2957,13632,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,51212f93ad299e1054712bbb969129ab6634796670779c5e5beb5fcc7d194b74
2957,13632,0.5,-5.0,1.0,0.0,0.3,-10.0,-10.0,-10.0,c92f364d74755468d02827cfe358bc6bf4a9ae8c893d38fcf1018a4bacea2b7b
2957,13632,3.9,9.7,7.7,9.6,8.4,-10.0,-10.0,-10.0,05062be903010d7d313ab69cb405325b3504b5a42fe6d8f017d06bca1a093464
2957,13632,10.0,10.0,10.0,9.0,9.5,-10.0,-10.0,-10.0,ca14b5587207191f79326f3180c81852c9557fb956eff700fc150434ef566b70
2957,13632,6.2,7.7,2.5,4.6,5.1,3.5,6.3,-10.0,ef0c207a6c49b4c602919572c5d48fc4978161728477391d3d18182ee9d898f4
2957,13632,7.4,7.0,4.5,7.0,6.7,-10.0,-10.0,-10.0,20f497561d99f497613a00b74fd09834970cddb25df8e6d2ef7c7c464d16f828
2957,13632,9.9,10.0,7.2,7.1,8.1,-10.0,-10.0,-10.0,0a87b022d0a2576f143541386843c1b1a0e0a1ee333965c427ec29d6abbf201a
2957,13632,9.5,9.3,5.5,7.5,7.8,-10.0,-10.0,-10.0,5f07c329e4df50832b143ec649ce725c571a5ecc923d2121ac2a29a923a52c5f
2957,13632,4.3,5.3,4.1,2.8,3.7,2.1,4.5,-10.0,fd9ff1ccf6d3713cbaed6113eaad58c77b321fe57ec886f68b95f313f113e58a
2957,13632,10.0,10.0,5.2,3.8,6.1,-10.0,-10.0,-10.0,71e2916cb9cf898502eaaea3ba6e847da7712eddabfb68eaea50647358e961be
2957,13632,8.2,7.4,5.6,5.2,6.2,-10.0,-10.0,-10.0,57d4026afe0f2d4dfd2911f945a4c87a710a9f9ad3995b5ebef858ac6478ff46
2957,13632,3.4,2.2,-5.0,-5.0,1.0,-10.0,-10.0,-10.0,7570b72d40b331834c0702459c2b6bd8e0fa8a426548dea1d683636fa03c314a
2957,13632,6.0,5.6,0.5,5.6,4.8,-8.0,3.7,-10.0,f51b69aaf5f69f48c6855f0807dda4db2f1b818dafba1d527ba1450b9580cb74
2957,13632,3.0,9.7,2.7,7.3,6.2,-10.0,-10.0,-10.0,3f3b7a43a029a33210835e324d24939ed5469070d5caa2acd0675ade5abbe2d3
2957,13632,2.2,1.0,0.6,0.5,0.9,0.0,-8.0,-10.0,032330182708980dceb1d551fee9579937251485b0be9cb2adbf912db9358750
2957,13632,7.8,9.5,7.5,5.5,6.9,-10.0,-10.0,-10.0,30bc96299021020f6c2f16444f6e8fd10ae70ff184eef720c87cc0b9e2d438e2
2957,13632,10.0,10.0,10.0,8.1,9.1,-10.0,-10.0,-10.0,f6a494697b7f3f95fb46aa51676d37529250d89c083609d7bf8a91ae985e5edf
2957,13632,2.5,3.1,1.5,1.3,1.9,0.0,0.3,-10.0,8cbdebfabe4fc77268560971fcf326daab383d93c4c5b1b9099b1c8255acd7a4
2957,13632,9.4,10.0,9.0,3.8,6.7,-10.0,-10.0,-10.0,91a737553987a654914d16a96a2b812ef3e995e2461bc65a35d2c24b74877d04
2957,13632,10.0,10.0,9.5,9.0,9.4,-10.0,-10.0,-10.0,366b0c38c1dffe2f23274b398d5abda572db8187db5e612a7839448086daec37
2957,13632,8.9,5.2,4.6,3.7,5.0,3.2,6.0,-10.0,7ac4cde70db34a82470b0e941c1f2dd9e29261fbbf83ad9f44d1e9bcbe2a7adc
2957,13632,7.0,6.1,6.0,6.3,6.4,-10.0,-10.0,-10.0,d0706cf94119ce91d154ccd2a1e3e27b7c8195f131f22f7819b3bbc49e3157f5
2957,13632,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,65885527e3bd775621909ab53e4640368204fb535f1f7cc2b48d3741406e633b
2957,13632,3.2,4.5,1.5,0.5,1.8,1.0,6.5,-10.0,bc2f316635beccd39f163569b7f527c10906f6fd8a4fe76f4eb835bafc063e42
2957,13632,9.3,7.7,9.6,6.0,7.5,-10.0,-10.0,-10.0,779831ddb4979d46173cc35a93bc49b7d38b1afa3cbd149aeeaa9aa5bda6f958
2957,13632,8.8,9.3,8.0,4.0,6.4,-10.0,-10.0,-10.0,962741437890e8b35dbc938efe7228602eacb9148be1e26c62ced927ce6bb42e
2957,13632,8.1,10.0,8.0,6.8,7.8,-10.0,-10.0,-10.0,df0c3916b10f483fb102714b1d1f7a93d1a138cf88128804ee0e9d9f936a2576
2957,13632,2.9,7.6,2.0,2.0,3.1,0.5,2.5,-10.0,b86bd753326c7983128eb096d2ea9df6d091e945b59257b8dd01f072dd295137
2957,13605,6.0,6.0,8.0,9.0,7.9,-10.0,-10.0,-10.0,4da6a31dd13d3af113a1b8b2c9c0f33ed8b4ee9ac1d9123990db7cd812593cfa
2957,13605,5.0,6.0,7.0,8.0,7.0,-10.0,-10.0,-10.0,31d14fa0104f4accdeb215be5f75b1c310521e5f55a2a66bcbd815eb492f8ebe
2957,13605,7.0,6.5,-5.0,-5.0,2.3,-10.0,-10.0,-10.0,5729783c1f2a4aa3bd362a40962d1bac3e1665eecf1f83f2b12482a980785c04
2957,13605,8.0,8.0,8.0,9.0,8.5,-10.0,-10.0,-10.0,3db02215a038d2739c00fe8442adabea4ccce9abeb4542f474027e65a0dcbd45
2957,13605,5.0,4.0,7.0,8.7,7.0,-10.0,-10.0,-10.0,6562350d9c8a79ed28eecf8906cb76469f48664274210d5b2fd6c130d432623d
2957,13605,9.5,9.8,9.0,9.0,9.2,-10.0,-10.0,-10.0,51212f93ad299e1054712bbb969129ab6634796670779c5e5beb5fcc7d194b74
2957,13605,6.0,-5.0,3.0,8.0,5.5,-10.0,-10.0,-10.0,c92f364d74755468d02827cfe358bc6bf4a9ae8c893d38fcf1018a4bacea2b7b
2957,13605,6.0,8.0,7.0,7.0,7.0,-10.0,-10.0,-10.0,05062be903010d7d313ab69cb405325b3504b5a42fe6d8f017d06bca1a093464
2957,13605,5.0,7.5,7.0,7.5,7.0,-10.0,-10.0,-10.0,ca14b5587207191f79326f3180c81852c9557fb956eff700fc150434ef566b70
2957,13605,6.0,6.0,7.0,9.7,8.0,-10.0,-10.0,-10.0,ef0c207a6c49b4c602919572c5d48fc4978161728477391d3d18182ee9d898f4
2957,13605,5.0,5.0,8.0,8.0,7.0,-10.0,-10.0,-10.0,20f497561d99f497613a00b74fd09834970cddb25df8e6d2ef7c7c464d16f828
2957,13605,8.5,9.8,9.0,8.9,9.0,-10.0,-10.0,-10.0,0a87b022d0a2576f143541386843c1b1a0e0a1ee333965c427ec29d6abbf201a
2957,13605,7.0,8.0,6.0,9.0,8.0,-10.0,-10.0,-10.0,5f07c329e4df50832b143ec649ce725c571a5ecc923d2121ac2a29a923a52c5f
2957,13605,7.5,7.0,7.0,9.0,8.1,-10.0,-10.0,-10.0,fd9ff1ccf6d3713cbaed6113eaad58c77b321fe57ec886f68b95f313f113e58a
2957,13605,8.5,7.5,8.0,9.7,8.9,-10.0,-10.0,-10.0,71e2916cb9cf898502eaaea3ba6e847da7712eddabfb68eaea50647358e961be
